Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     59.51     0.00      138     0.00     0.00  Lattice::~Lattice()
  0.00     59.51     0.00      124     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00     59.51     0.00      121     0.00     0.00  std::_Vector_base<Bond, std::allocator<Bond> >::~_Vector_base()
  0.00     59.51     0.00      121     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00     59.51     0.00      121     0.00     0.00  std::vector<int, std::allocator<int> >::vector(unsigned long, std::allocator<int> const&)
  0.00     59.51     0.00      119     0.00     0.00  std::_Vector_base<Coordinate, std::allocator<Coordinate> >::_Vector_impl::_Vector_impl()
  0.00     59.51     0.00      118     0.00     0.00  std::vector<Bond, std::allocator<Bond> >::end()
  0.00     59.51     0.00      117     0.00     0.00  std::allocator<Coordinate>::allocator()
  0.00     59.51     0.00      116     0.00     0.00  __gnu_cxx::new_allocator<Coordinate>::new_allocator()
  0.00     59.51     0.00      114     0.00     0.00  std::vector<Coordinate, std::allocator<Coordinate> >::~vector()
  0.00     59.51     0.00      114     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00     59.51     0.00      113     0.00     0.00  __gnu_cxx::new_allocator<Bond>::new_allocator()
  0.00     59.51     0.00      113     0.00     0.00  std::vector<Coordinate, std::allocator<Coordinate> >::vector()
  0.00     59.51     0.00      111     0.00     0.01  Lattice::shuffleBonds()
  0.00     59.51     0.00      111     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00     59.51     0.00      110     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00     59.51     0.00      108     0.00     0.00  std::_Vector_base<Coordinate, std::allocator<Coordinate> >::~_Vector_base()
  0.00     59.51     0.00      107     0.00     0.00  Lattice::Lattice(int)
  0.00     59.51     0.00      107     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00     59.51     0.00      104     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00     59.51     0.00      103     0.00     0.00  SquareLattice::SquareLattice(int)
  0.00     59.51     0.00      103     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00     59.51     0.00      102     0.00     0.00  std::allocator<Bond>::allocator()
  0.00     59.51     0.00      100     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00     59.51     0.00       96     0.00     0.00  __gnu_cxx::new_allocator<Coordinate>::~new_allocator()
  0.00     59.51     0.00       96     0.00     0.00  __gnu_cxx::new_allocator<Bond>::~new_allocator()
  0.00     59.51     0.00       93     0.00     0.00  std::_Vector_base<Coordinate, std::allocator<Coordinate> >::_Vector_impl::~_Vector_impl()
  0.00     59.51     0.00       93     0.00     0.00  std::_Vector_base<Bond, std::allocator<Bond> >::_Vector_base()
  0.00     59.51     0.00       93     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00     59.51     0.00       93     0.00     0.00  int* std::__uninitialized_default_n_1<true>::__uninit_default_n<int*, unsigned long>(int*, unsigned long)
  0.00     59.51     0.00       91     0.00     0.00  std::_Vector_base<Coordinate, std::allocator<Coordinate> >::_M_deallocate(Coordinate*, unsigned long)
  0.00     59.51     0.00       91     0.00     0.00  std::_Vector_base<Bond, std::allocator<Bond> >::_Vector_impl::~_Vector_impl()
  0.00     59.51     0.00       91     0.00     0.00  int* std::fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00     59.51     0.00       90     0.00     0.00  std::_Vector_base<Bond, std::allocator<Bond> >::_Vector_impl::_Vector_impl()
  0.00     59.51     0.00       89     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00     59.51     0.00       89     0.00     0.00  int* std::__uninitialized_default_n<int*, unsigned long>(int*, unsigned long)
  0.00     59.51     0.00       88     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00     59.51     0.00       87     0.00     0.00  void std::_Destroy<Coordinate*>(Coordinate*, Coordinate*)
  0.00     59.51     0.00       86     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00     59.51     0.00       86     0.00     0.00  std::vector<Bond, std::allocator<Bond> >::vector()
  0.00     59.51     0.00       86     0.00     0.00  void std::_Destroy<Coordinate*, Coordinate>(Coordinate*, Coordinate*, std::allocator<Coordinate>&)
